id,active,https,cros,preferred,host,country_code,province,city,ver,operator,lon,lat,times,high_speed,sponsor,sponsor_url,current_version,limit_setting,distance,pingUrl,downloadUrl,uploadUrl,websocketUrl
428220,1,1,1,0,node-223-111-192-62.speedtest.cn:51090,CN,江苏,连云港,2,移动,119.178821,34.600018,0,0,LYG-YD,https://www.speedtest.cn/cloud,v3.2.5,,1387,https://node-223-111-192-62.speedtest.cn:51090/hello,https://node-223-111-192-62.speedtest.cn:51090/download,https://node-223-111-192-62.speedtest.cn:51090/upload,wss://node-223-111-192-62.speedtest.cn:51090/ws
429180,1,1,0,0,speedtest.139play.com.prod.hosts.ooklaserver.net:8080,CN,浙江,杭州,1,移动,120.100000,30.160000,0,0,云测节点-CN,http://www.speedtest.cn/,,,11,https://speedtest.139play.com.prod.hosts.ooklaserver.net:8080/hello,https://speedtest.139play.com.prod.hosts.ooklaserver.net:8080/download,https://speedtest.139play.com.prod.hosts.ooklaserver.net:8080/upload,wss://speedtest.139play.com.prod.hosts.ooklaserver.net:8080/ws
429248,1,0,0,0,speedtest.139play.com:8080,CN,浙江,杭州,1,移动,120.100000,30.160000,0,0,云测节点-CN,http://www.speedtest.cn/,,,11,http://speedtest.139play.com:8080/hello,http://speedtest.139play.com:8080/download,http://speedtest.139play.com:8080/upload,ws://speedtest.139play.com:8080/ws
407806,1,1,0,0,5g.shunicomtest.com.prod.hosts.ooklaserver.net:8080,CN,浙江,杭州,1,移动,120.100000,30.160000,5723,1,云测节点,http://www.speedtest.cn/cloud,,,11,https://5g.shunicomtest.com.prod.hosts.ooklaserver.net:8080/hello,https://5g.shunicomtest.com.prod.hosts.ooklaserver.net:8080/download,https://5g.shunicomtest.com.prod.hosts.ooklaserver.net:8080/upload,wss://5g.shunicomtest.com.prod.hosts.ooklaserver.net:8080/ws
1960,1,0,1,0,speedtest.bmcc.com.cn:8080,CN,北京,北京,1,移动,116.399040,39.903590,0,0,北京移动,http://www.10086.cn,,,1057,http://speedtest.bmcc.com.cn:8080/hello,http://speedtest.bmcc.com.cn:8080/download,http://speedtest.bmcc.com.cn:8080/upload,ws://speedtest.bmcc.com.cn:8080/ws
99,1,1,1,0,speedtest.bmcc.com.cn.prod.hosts.ooklaserver.net:8080,CN,北京,北京,1,移动,116.391700,39.913900,0,0,云测节点-CN,http://www.speedtest.cn/cloud,,,1057,https://speedtest.bmcc.com.cn.prod.hosts.ooklaserver.net:8080/hello,https://speedtest.bmcc.com.cn.prod.hosts.ooklaserver.net:8080/download,https://speedtest.bmcc.com.cn.prod.hosts.ooklaserver.net:8080/upload,wss://speedtest.bmcc.com.cn.prod.hosts.ooklaserver.net:8080/ws
415122,1,0,0,0,speedtest.nx.chinamobile.com.prod.hosts.ooklaserver.net:8080,CN,宁夏,银川,1,移动,106.160000,38.270000,0,0,云测节点-CN,http://www.speedtest.cn/,,,711,http://speedtest.nx.chinamobile.com.prod.hosts.ooklaserver.net:8080/hello,http://speedtest.nx.chinamobile.com.prod.hosts.ooklaserver.net:8080/download,http://speedtest.nx.chinamobile.com.prod.hosts.ooklaserver.net:8080/upload,ws://speedtest.nx.chinamobile.com.prod.hosts.ooklaserver.net:8080/ws
407924,1,0,0,0,speedtest.nx.chinamobile.com:8080,CN,宁夏,银川,1,移动,106.160000,38.270000,0,0,测试节点-CN,http://www.speedtest.cn/,,,711,http://speedtest.nx.chinamobile.com:8080/hello,http://speedtest.nx.chinamobile.com:8080/download,http://speedtest.nx.chinamobile.com:8080/upload,ws://speedtest.nx.chinamobile.com:8080/ws
412726,1,1,0,0,speedtest1.gs.chinamobile.com.prod.hosts.ooklaserver.net:8080,CN,甘肃,兰州,1,移动,103.510000,36.040000,0,0,云测节点-CN,http://www.speedtest.cn/,,,31,https://speedtest1.gs.chinamobile.com.prod.hosts.ooklaserver.net:8080/hello,https://speedtest1.gs.chinamobile.com.prod.hosts.ooklaserver.net:8080/download,https://speedtest1.gs.chinamobile.com.prod.hosts.ooklaserver.net:8080/upload,wss://speedtest1.gs.chinamobile.com.prod.hosts.ooklaserver.net:8080/ws
1973,1,0,0,0,speedtest1.gs.chinamobile.com:8080,CN,甘肃,兰州,1,移动,103.510000,36.040000,0,0,甘肃移动,http://www.10086.cn,,,31,http://speedtest1.gs.chinamobile.com:8080/hello,http://speedtest1.gs.chinamobile.com:8080/download,http://speedtest1.gs.chinamobile.com:8080/upload,ws://speedtest1.gs.chinamobile.com:8080/ws
