id,active,https,cros,preferred,host,country_code,province,city,ver,operator,lon,lat,times,high_speed,sponsor,sponsor_url,current_version,limit_setting,distance,pingUrl,downloadUrl,uploadUrl,websocketUrl
412995,1,0,1,0,www.unicomspeedtest.com:8080,CN,辽宁,沈阳,1,联通,123.250000,41.480000,0,0,云测节点-CN,http://www.speedtest.cn/,,,586,http://www.unicomspeedtest.com:8080/hello,http://www.unicomspeedtest.com:8080/download,http://www.unicomspeedtest.com:8080/upload,ws://www.unicomspeedtest.com:8080/ws
414860,1,0,1,0,unicomspeedtest.com:8080,CN,辽宁,沈阳,1,联通,123.250000,41.480000,0,0,云测节点-CN,http://www.speedtest.cn/,,,586,http://unicomspeedtest.com:8080/hello,http://unicomspeedtest.com:8080/download,http://unicomspeedtest.com:8080/upload,ws://unicomspeedtest.com:8080/ws
413802,1,0,1,0,www.unicomspeedtest.com.prod.hosts.ooklaserver.net:8080,CN,辽宁,沈阳,1,联通,123.250000,41.480000,0,0,云测节点-CN,http://www.speedtest.cn/,,,283,http://www.unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/hello,http://www.unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/download,http://www.unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/upload,ws://www.unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/ws
412751,1,1,1,0,node-218-25-6-190.speedtest.cn:51090,CN,辽宁,沈阳,2,联通,123.250000,41.480000,0,0,沈阳联通,https://www.speedtest.cn/cloud,v3.2.5,,586,https://node-218-25-6-190.speedtest.cn:51090/hello,https://node-218-25-6-190.speedtest.cn:51090/download,https://node-218-25-6-190.speedtest.cn:51090/upload,wss://node-218-25-6-190.speedtest.cn:51090/ws
429223,1,1,1,0,unicomspeedtest.com.prod.hosts.ooklaserver.net:8080,CN,辽宁,沈阳,1,联通,123.250000,41.480000,0,0,云测节点-CN,http://www.speedtest.cn/,,,586,https://unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/hello,https://unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/download,https://unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/upload,wss://unicomspeedtest.com.prod.hosts.ooklaserver.net:8080/ws
414842,1,1,1,0,server-37235.prod.hosts.ooklaserver.net:8080,CN,辽宁,沈阳,1,联通,123.250000,41.480000,0,0,云测节点-CN,http://www.speedtest.cn/,,,586,https://server-37235.prod.hosts.ooklaserver.net:8080/hello,https://server-37235.prod.hosts.ooklaserver.net:8080/download,https://server-37235.prod.hosts.ooklaserver.net:8080/upload,wss://server-37235.prod.hosts.ooklaserver.net:8080/ws
403958,1,0,0,0,5g.shunicomtest.com:8080,CN,上海,上海,1,联通,121.500000,31.200000,5723,1,云测节点,http://www.speedtest.cn/cloud,,,148,http://5g.shunicomtest.com:8080/hello,http://5g.shunicomtest.com:8080/download,http://5g.shunicomtest.com:8080/upload,ws://5g.shunicomtest.com:8080/ws
412884,1,1,1,0,5gtest.shangdu.com:8080,CN,河南,郑州,1,联通,113.400000,34.460000,0,0,云测节点-CN,http://www.speedtest.cn/,,,872,https://5gtest.shangdu.com:8080/hello,https://5gtest.shangdu.com:8080/download,https://5gtest.shangdu.com:8080/upload,wss://5gtest.shangdu.com:8080/ws
1984,1,0,1,0,speedtest01.hn165.com:8080,CN,湖南,长沙,1,联通,112.590000,28.120000,0,0,湖南联通,http://www.10010.com,,,1063,http://speedtest01.hn165.com:8080/hello,http://speedtest01.hn165.com:8080/download,http://speedtest01.hn165.com:8080/upload,ws://speedtest01.hn165.com:8080/ws
162,1,1,1,0,speedtest01.hn165.com.prod.hosts.ooklaserver.net:8080,CN,湖南,长沙,1,联通,112.590000,28.120000,0,0,云测节点-CN,http://www.speedtest.cn/cloud,,,1063,https://speedtest01.hn165.com.prod.hosts.ooklaserver.net:8080/hello,https://speedtest01.hn165.com.prod.hosts.ooklaserver.net:8080/download,https://speedtest01.hn165.com.prod.hosts.ooklaserver.net:8080/upload,wss://speedtest01.hn165.com.prod.hosts.ooklaserver.net:8080/ws
429235,1,0,1,0,speedtest.jxunicom.com:8080,CN,江西,南昌,1,联通,115.550000,28.400000,0,0,云测节点-CN,http://www.speedtest.cn/,,,1259,http://speedtest.jxunicom.com:8080/hello,http://speedtest.jxunicom.com:8080/download,http://speedtest.jxunicom.com:8080/upload,ws://speedtest.jxunicom.com:8080/ws
429179,1,1,1,0,speedtest.jxunicom.com.prod.hosts.ooklaserver.net:8080,CN,江西,南昌,1,联通,115.550000,28.400000,0,0,云测节点-CN,http://www.speedtest.cn/,,,1259,https://speedtest.jxunicom.com.prod.hosts.ooklaserver.net:8080/hello,https://speedtest.jxunicom.com.prod.hosts.ooklaserver.net:8080/download,https://speedtest.jxunicom.com.prod.hosts.ooklaserver.net:8080/upload,wss://speedtest.jxunicom.com.prod.hosts.ooklaserver.net:8080/ws
412756,1,1,1,0,node-157-255-70-85.speedtest.cn:51090,CN,广东,广州,2,联通,113.140000,23.080000,0,0,广州联通,https://www.speedtest.cn/cloud,v3.2.5,,660,https://node-157-255-70-85.speedtest.cn:51090/hello,https://node-157-255-70-85.speedtest.cn:51090/download,https://node-157-255-70-85.speedtest.cn:51090/upload,wss://node-157-255-70-85.speedtest.cn:51090/ws
413925,1,1,0,0,cugspeed.chinaunicomglobal.com:8080,HK,香港,中国香港,1,联通,114.166700,22.300000,0,0,云测节点-CN,http://www.speedtest.cn/,,,402,https://cugspeed.chinaunicomglobal.com:8080/hello,https://cugspeed.chinaunicomglobal.com:8080/download,https://cugspeed.chinaunicomglobal.com:8080/upload,wss://cugspeed.chinaunicomglobal.com:8080/ws
2034,1,0,1,0,36.250.1.90:8080,CN,福建,福州,1,联通,119.180000,26.050000,0,0,云测节点-CN,http://www.speedtest.cn/cloud,,,390,http://36.250.1.90:8080/hello,http://36.250.1.90:8080/download,http://36.250.1.90:8080/upload,ws://36.250.1.90:8080/ws
404129,1,0,0,0,sp1.preciousnetcom.in:8080,IN,北方邦,诺伊达,1,联通,77.320000,28.570000,0,0,云测节点-IN,http://www.speedtest.cn/cloud,,,11,http://sp1.preciousnetcom.in:8080/hello,http://sp1.preciousnetcom.in:8080/download,http://sp1.preciousnetcom.in:8080/upload,ws://sp1.preciousnetcom.in:8080/ws
